기업명,종목코드,상폐일,폐지사유
하나금융21호스팩,406760,2024-12-26,피흡수합병(스팩소멸합병)
에스엘에너지,214310,2024-12-23,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
에스엔유,080000,2024-12-20,피흡수합병
듀켐바이오,176750,2024-12-20,코스닥시장 이전상장
하나금융22호스팩,418170,2024-12-19,피흡수합병(스팩소멸합병)
한화플러스제3호스팩,430460,2024-12-13,피흡수합병(스팩소멸합병)
이브이파킹서비스,419700,2024-12-12,지정자문인 선임계약 해지 후 30일 이내 미체결('24.11.28限)
락앤락,115390,2024-12-09,지주회사(최대주주등)의 완전자회사화 등
상상인제3호스팩,415580,2024-12-04,합병상장예비심사신청서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소
비즈니스온,138580,2024-11-22,타법인의 완전자회사로 편입
대신밸런스제13호스팩,438220,2024-11-20,피흡수합병(스팩소멸합병)
교보12호스팩,421800,2024-11-19,피흡수합병(스팩소멸합병)
티엘아이,062860,2024-11-14,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
제이시스메디칼,287410,2024-11-07,타법인의 완전자회사로 편입
어스앤에어로스페이스,263540,2024-11-06,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
에이치엔에스하이텍,044990,2024-10-25,코스닥시장 이전상장
이루다,164060,2024-10-22,피흡수합병
동아타이어,282690,2024-10-08,해산 사유 발생
한국테크놀로지,053590,2024-10-07,해산사유 발생(파산선고)
씨엔티드림,286000,2024-10-07,외부감사인의 감사의견 의견거절
한국제11호스팩,436610,2024-09-27,피흡수합병(스팩소멸합병)
커넥트웨이브,119860,2024-09-24,타법인의 완전자회사로 편입
에이티세미콘,089530,2024-09-06,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정
하나금융24호스팩,430230,2024-09-03,피흡수합병(스팩소멸합병)
셀젠텍,258250,2024-08-30,지정자문인 선임계약 해지 후 30일 이내 미체결(2024.8.16 限)
에스엠비나,299670,2024-08-16,지정자문인 선임계약 해지 후 30일 이내 미체결(2024.8.1 限)
녹원씨엔아이,065560,2024-07-29,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
하이제7호스팩,400840,2024-07-26,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소
스마트솔루션즈,136510,2024-07-25,감사의견 거절
이즈미디어,181340,2024-07-10,감사범위 제한
쌍용씨앤이,003410,2024-07-09,지주회사(최대주주등)의 완전자회사화 등
유진스팩7호,388800,2024-07-02,상장예비심사청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소
파나케이아,058530,2024-06-25,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
파라다이스,034230,2024-06-24,유가증권시장 상장
한중엔시에스,107640,2024-06-24,코스닥시장 이전상장
대양제지,006580,2024-06-21,상장폐지 신청('24.05.17)
디피코,163430,2024-06-18,'22사업연도 감사의견 의견거절 및 '23사업연도 사업보고서 미제출
THE MIDONG,161570,2024-06-17,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
한화플러스제2호스팩,386580,2024-06-17,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소
신한제9호스팩,405640,2024-06-11,피흡수합병(스팩소멸합병)
다원넥스뷰,323350,2024-06-11,신한제9호기업인수목적(주)와의 스팩소멸합병
비디아이,148140,2024-06-07,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
엔에이치스팩20호,391060,2024-05-14,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소
비케이탑스,030790,2024-05-13,감사의견 의견거절 2년 계속
아리온,058220,2024-05-03,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
케이비제22호스팩,436530,2024-05-03,피흡수합병(스팩소멸합병)
신한제8호스팩,393360,2024-04-30,합병상장예비심사신청서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소
베른,322190,2024-04-25,감사의견 의견거절(감사범위제한)
신영스팩7호,419270,2024-04-25,피흡수합병(스팩소멸합병)
젬,248020,2024-04-05,외부감사인의 감사의견 의견거절
에스케이씨에스,224020,2024-03-29,피흡수합병
교보11호스팩,397880,2024-03-25,피흡수합병(스팩소멸합병)
피노텍,150440,2024-03-21,외부감사인의 감사의견 의견거절
연우,115960,2024-03-06,타법인의 완전자회사로 편입
DL건설,001880,2024-03-04,지주회사(최대주주등)의 완전자회사화 등
골프존데카,183410,2024-02-22,타법인의 완전자회사로 편입
하나머스트7호스팩,372290,2024-02-19,피흡수합병(스팩소멸합병)
IBKS제19호스팩,426550,2024-02-15,피흡수합병(스팩소멸합병)
크루셜텍,114120,2024-02-15,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
하나금융23호스팩,427950,2024-02-01,피흡수합병(스팩소멸합병)
SK렌터카,068400,2024-01-31,지주회사(최대주주등)의 완전자회사화 등
엘앤에프,066970,2024-01-29,유가증권시장 상장
하이제6호스팩,377400,2024-01-25,피흡수합병(스팩소멸합병)
삼성머스트스팩5호,380320,2024-01-23,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소
셀트리온헬스케어,091990,2024-01-12,피흡수합병
디비금융스팩10호,404950,2024-01-04,피흡수합병(스팩소멸합병)
