기업명,종목코드,corp_code,연도,기업상태,selected_fs_div,has_data,raw_row_count,status_values,status_conflict,all_feature_null,event_year_Y,event_date,event_source,y_minus_1_excluded,is_positive_candidate,is_excluded_y_minus_1,is_excluded_event_or_after,target_future_delist,include_for_training,exclude_reason,source_file
포스코퓨처엠,003670,00155276,2024,상장기업,CFS,True,2,상장기업|상폐기업,True,False,2025,20250325,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상장기업\포스코퓨처엠\2024\003670__포스코퓨처엠__2024__11011.json
호반산업,004320,00144766,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\호반산업\2016\004320__호반산업__2016__11011.json
휴리프,006210,00142698,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\휴리프\2016\006210__휴리프__2016__11011.json
대양제지공업,006580,00111227,2025,상폐기업,,False,1,상폐기업,False,True,2026,20260209,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\대양제지공업\2025\006580__대양제지공업__2025__11011.json
아이텍스필,008030,00130000,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\아이텍스필\2016\008030__아이텍스필__2016__11011.json
대주코레스,008340,00133715,2021,상폐기업,,False,1,상폐기업,False,True,2022,20220228,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\대주코레스\2021\008340__대주코레스__2021__11011.json
씨앤중공업,008400,00150226,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\씨앤중공업\2016\008400__씨앤중공업__2016__11011.json
행남사,008800,00164362,2025,상폐기업,OFS,True,1,상폐기업,False,False,2026,20260320,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\행남사\2025\008800__행남사__2025__11011.json
다함이텍,009280,00130046,2022,상폐기업,,False,1,상폐기업,False,True,2023,20230223,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\다함이텍\2022\009280__다함이텍__2022__11011.json
나노트로닉스,010670,00268437,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\나노트로닉스\2016\010670__나노트로닉스__2016__11011.json
