기업명,종목코드,상폐일,폐지사유,event_year_Y,exclude_rule
하나금융21호스팩,406760,2024-12-26,피흡수합병(스팩소멸합병),2024,merge_or_spac
에스엔유,080000,2024-12-20,피흡수합병,2024,merge_or_spac
듀켐바이오,176750,2024-12-20,코스닥시장 이전상장,2024,market_transfer
하나금융22호스팩,418170,2024-12-19,피흡수합병(스팩소멸합병),2024,merge_or_spac
한화플러스제3호스팩,430460,2024-12-13,피흡수합병(스팩소멸합병),2024,merge_or_spac
락앤락,115390,2024-12-09,지주회사(최대주주등)의 완전자회사화 등,2024,privatization
상상인제3호스팩,415580,2024-12-04,합병상장예비심사신청서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2024,merge_or_spac
비즈니스온,138580,2024-11-22,타법인의 완전자회사로 편입,2024,privatization
대신밸런스제13호스팩,438220,2024-11-20,피흡수합병(스팩소멸합병),2024,merge_or_spac
교보12호스팩,421800,2024-11-19,피흡수합병(스팩소멸합병),2024,merge_or_spac
제이시스메디칼,287410,2024-11-07,타법인의 완전자회사로 편입,2024,privatization
에이치엔에스하이텍,044990,2024-10-25,코스닥시장 이전상장,2024,market_transfer
이루다,164060,2024-10-22,피흡수합병,2024,merge_or_spac
한국제11호스팩,436610,2024-09-27,피흡수합병(스팩소멸합병),2024,merge_or_spac
커넥트웨이브,119860,2024-09-24,타법인의 완전자회사로 편입,2024,privatization
하나금융24호스팩,430230,2024-09-03,피흡수합병(스팩소멸합병),2024,merge_or_spac
쌍용씨앤이,003410,2024-07-09,지주회사(최대주주등)의 완전자회사화 등,2024,privatization
파라다이스,034230,2024-06-24,유가증권시장 상장,2024,market_transfer
한중엔시에스,107640,2024-06-24,코스닥시장 이전상장,2024,market_transfer
신한제9호스팩,405640,2024-06-11,피흡수합병(스팩소멸합병),2024,merge_or_spac
다원넥스뷰,323350,2024-06-11,신한제9호기업인수목적(주)와의 스팩소멸합병,2024,merge_or_spac
케이비제22호스팩,436530,2024-05-03,피흡수합병(스팩소멸합병),2024,merge_or_spac
신한제8호스팩,393360,2024-04-30,합병상장예비심사신청서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2024,merge_or_spac
신영스팩7호,419270,2024-04-25,피흡수합병(스팩소멸합병),2024,merge_or_spac
에스케이씨에스,224020,2024-03-29,피흡수합병,2024,merge_or_spac
교보11호스팩,397880,2024-03-25,피흡수합병(스팩소멸합병),2024,merge_or_spac
연우,115960,2024-03-06,타법인의 완전자회사로 편입,2024,privatization
DL건설,001880,2024-03-04,지주회사(최대주주등)의 완전자회사화 등,2024,privatization
골프존데카,183410,2024-02-22,타법인의 완전자회사로 편입,2024,privatization
하나머스트7호스팩,372290,2024-02-19,피흡수합병(스팩소멸합병),2024,merge_or_spac
IBKS제19호스팩,426550,2024-02-15,피흡수합병(스팩소멸합병),2024,merge_or_spac
하나금융23호스팩,427950,2024-02-01,피흡수합병(스팩소멸합병),2024,merge_or_spac
SK렌터카,068400,2024-01-31,지주회사(최대주주등)의 완전자회사화 등,2024,privatization
엘앤에프,066970,2024-01-29,유가증권시장 상장,2024,market_transfer
하이제6호스팩,377400,2024-01-25,피흡수합병(스팩소멸합병),2024,merge_or_spac
셀트리온헬스케어,091990,2024-01-12,피흡수합병,2024,merge_or_spac
디비금융스팩10호,404950,2024-01-04,피흡수합병(스팩소멸합병),2024,merge_or_spac
포스코DX,022100,2024-01-02,유가증권시장 상장,2024,market_transfer
엔에이치스팩19호,380440,2024-01-02,SPAC 상장예비심사청구서 미제출 등,2024,merge_or_spac
엔에이치스팩28호,450410,2023-12-21,피흡수합병(스팩소멸합병),2023,merge_or_spac
SBS콘텐츠허브,046140,2023-12-18,타법인의 완전자회사로 편입,2023,privatization
DB금융스팩9호,367360,2023-11-24,피흡수합병(스팩소멸합병),2023,merge_or_spac
IBKS제17호스팩,405350,2023-11-03,피흡수합병(스팩소멸합병),2023,merge_or_spac
케이비제23호스팩,440200,2023-11-03,피흡수합병(스팩소멸합병),2023,merge_or_spac
유투바이오,221800,2023-11-02,코스닥시장 이전상장,2023,market_transfer
루트로닉,085370,2023-10-27,타법인의 완전자회사로 편입,2023,privatization
에스엘에스바이오,246250,2023-10-20,코스닥시장 이전상장,2023,market_transfer
하나금융20호스팩,400560,2023-09-19,피흡수합병(스팩소멸합병),2023,merge_or_spac
