기업명,종목코드,상폐일,폐지사유,event_year_Y,exclude_rule
에스엘에너지,214310,2024-12-23,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,2024,
이브이파킹서비스,419700,2024-12-12,지정자문인 선임계약 해지 후 30일 이내 미체결('24.11.28限),2024,
티엘아이,062860,2024-11-14,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,2024,
어스앤에어로스페이스,263540,2024-11-06,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,2024,
동아타이어,282690,2024-10-08,해산 사유 발생,2024,
한국테크놀로지,053590,2024-10-07,해산사유 발생(파산선고),2024,
씨엔티드림,286000,2024-10-07,외부감사인의 감사의견 의견거절,2024,
에이티세미콘,089530,2024-09-06,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정,2024,
셀젠텍,258250,2024-08-30,지정자문인 선임계약 해지 후 30일 이내 미체결(2024.8.16 限),2024,
에스엠비나,299670,2024-08-16,지정자문인 선임계약 해지 후 30일 이내 미체결(2024.8.1 限),2024,
녹원씨엔아이,065560,2024-07-29,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,2024,
하이제7호스팩,400840,2024-07-26,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2024,
스마트솔루션즈,136510,2024-07-25,감사의견 거절,2024,
이즈미디어,181340,2024-07-10,감사범위 제한,2024,
유진스팩7호,388800,2024-07-02,상장예비심사청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2024,
파나케이아,058530,2024-06-25,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,2024,
대양제지,006580,2024-06-21,상장폐지 신청('24.05.17),2024,
디피코,163430,2024-06-18,'22사업연도 감사의견 의견거절 및 '23사업연도 사업보고서 미제출,2024,
THE MIDONG,161570,2024-06-17,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,2024,
한화플러스제2호스팩,386580,2024-06-17,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2024,
비디아이,148140,2024-06-07,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,2024,
엔에이치스팩20호,391060,2024-05-14,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소,2024,
비케이탑스,030790,2024-05-13,감사의견 의견거절 2년 계속,2024,
아리온,058220,2024-05-03,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),2024,
베른,322190,2024-04-25,감사의견 의견거절(감사범위제한),2024,
젬,248020,2024-04-05,외부감사인의 감사의견 의견거절,2024,
피노텍,150440,2024-03-21,외부감사인의 감사의견 의견거절,2024,
크루셜텍,114120,2024-02-15,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,2024,
삼성머스트스팩5호,380320,2024-01-23,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2024,
디에스앤엘,141020,2024-01-03,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,2024,
삼성스팩4호,377630,2023-12-27,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2023,
유진스팩6호,373340,2023-12-13,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2023,
엘아이에스,138690,2023-12-06,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,2023,
바다로19호,155900,2023-11-24,신청에 의한 상장폐지,2023,
에코바이브,015540,2023-11-07,감사의견 의견거절 2년 계속,2023,
유한코스메틱,069110,2023-10-20,감사의견 거절(감사범위 제한),2023,
에이치엠씨제5호스팩,353060,2023-09-22,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2023,
피엔아이컴퍼니,242350,2023-09-18,지정자문인 선임계약 해지 후 30일 이내 미체결(2023.9.4 限),2023,
오스템임플란트,048260,2023-08-14,상장폐지 신청('23.06.28),2023,
데이드림엔터,348840,2023-08-10,상장폐지 신청,2023,
지나인제약,078650,2023-07-21,감사의견 거절(감사범위 제한 및 계속기업가정 불확실성),2023,
DB금융스팩8호,367340,2023-07-17,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2023,
멜파스,096640,2023-07-17,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,2023,
라이프사이언스테크놀로지,285770,2023-06-12,외부감사인의 감사의견 의견거절,2023,
바이오시네틱스,281310,2023-06-12,외부감사인의 감사의견 의견거절,2023,
미래에셋대우스팩 5호,353490,2023-05-17,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2023,
엠피씨플러스,050540,2023-05-08,감사의견 거절(감사범위 제한),2023,
청광건설,140290,2023-05-08,상장폐지 신청,2023,
무송지오씨,135160,2023-05-02,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지,2023,
비엔디생활건강,215050,2023-04-21,감사의견 의견거절(감사범위제한),2023,
명진홀딩스,267060,2023-04-18,지정자문인 선임계약 해지 후 30일 이내 미체결(2023.4.4 限),2023,
제이웨이,058420,2023-04-14,감사의견 거절(감사범위 제한 및 계속기업가정 불확실성),2023,
다이오진,271850,2023-04-12,지정자문인 선임계약 해지 후 30일 이내 미체결(2023.3.29 限),2023,
앙츠,267810,2023-04-04,지정자문인 선임계약 해지 후 30일 이내 미체결(2023.3.21 限),2023,
