종목코드,연도,raw_row_count,company_names,corp_codes,status_values,source_files,distinct_status_count,status_conflict
003670,2015,2,포스코퓨처엠,00155276,상장기업|상폐기업,C:\kwoss_C\model_test\downloads\dart_financials\상장기업\포스코퓨처엠\2015\003670__포스코퓨처엠__2015__11011.json|C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\포스코퓨처엠\2015\003670__포스코퓨처엠__2015__11011.json,2,True
003670,2016,2,포스코퓨처엠,00155276,상장기업|상폐기업,C:\kwoss_C\model_test\downloads\dart_financials\상장기업\포스코퓨처엠\2016\003670__포스코퓨처엠__2016__11011.json|C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\포스코퓨처엠\2016\003670__포스코퓨처엠__2016__11011.json,2,True
003670,2017,2,포스코퓨처엠,00155276,상장기업|상폐기업,C:\kwoss_C\model_test\downloads\dart_financials\상장기업\포스코퓨처엠\2017\003670__포스코퓨처엠__2017__11011.json|C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\포스코퓨처엠\2017\003670__포스코퓨처엠__2017__11011.json,2,True
003670,2018,2,포스코퓨처엠,00155276,상장기업|상폐기업,C:\kwoss_C\model_test\downloads\dart_financials\상장기업\포스코퓨처엠\2018\003670__포스코퓨처엠__2018__11011.json|C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\포스코퓨처엠\2018\003670__포스코퓨처엠__2018__11011.json,2,True
003670,2019,2,포스코퓨처엠,00155276,상장기업|상폐기업,C:\kwoss_C\model_test\downloads\dart_financials\상장기업\포스코퓨처엠\2019\003670__포스코퓨처엠__2019__11011.json|C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\포스코퓨처엠\2019\003670__포스코퓨처엠__2019__11011.json,2,True
003670,2020,2,포스코퓨처엠,00155276,상장기업|상폐기업,C:\kwoss_C\model_test\downloads\dart_financials\상장기업\포스코퓨처엠\2020\003670__포스코퓨처엠__2020__11011.json|C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\포스코퓨처엠\2020\003670__포스코퓨처엠__2020__11011.json,2,True
003670,2021,2,포스코퓨처엠,00155276,상장기업|상폐기업,C:\kwoss_C\model_test\downloads\dart_financials\상장기업\포스코퓨처엠\2021\003670__포스코퓨처엠__2021__11011.json|C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\포스코퓨처엠\2021\003670__포스코퓨처엠__2021__11011.json,2,True
003670,2022,2,포스코퓨처엠,00155276,상장기업|상폐기업,C:\kwoss_C\model_test\downloads\dart_financials\상장기업\포스코퓨처엠\2022\003670__포스코퓨처엠__2022__11011.json|C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\포스코퓨처엠\2022\003670__포스코퓨처엠__2022__11011.json,2,True
003670,2023,2,포스코퓨처엠,00155276,상장기업|상폐기업,C:\kwoss_C\model_test\downloads\dart_financials\상장기업\포스코퓨처엠\2023\003670__포스코퓨처엠__2023__11011.json|C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\포스코퓨처엠\2023\003670__포스코퓨처엠__2023__11011.json,2,True
003670,2024,2,포스코퓨처엠,00155276,상장기업|상폐기업,C:\kwoss_C\model_test\downloads\dart_financials\상장기업\포스코퓨처엠\2024\003670__포스코퓨처엠__2024__11011.json|C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\포스코퓨처엠\2024\003670__포스코퓨처엠__2024__11011.json,2,True
