experiment,threshold,precision,recall,f1,tp,fp,fn,tn
baseline_single_year,0.05,0.004248539564524694,0.8,0.008452192287374538,8,1875,2,288
baseline_single_year,0.06,0.00437636761487965,0.8,0.008705114254624592,8,1820,2,343
baseline_single_year,0.07,0.004489337822671156,0.8,0.008928571428571428,8,1774,2,389
baseline_single_year,0.08,0.004584527220630372,0.8,0.009116809116809116,8,1737,2,426
baseline_single_year,0.09,0.0041249263406010605,0.7,0.008201523140011716,7,1690,3,473
baseline_single_year,0.1,0.00426049908703591,0.7,0.008469449485783424,7,1636,3,527
baseline_single_year,0.11,0.00439146800501882,0.7,0.008728179551122194,7,1587,3,576
baseline_single_year,0.12,0.004519044544867657,0.7,0.008980115458627326,7,1542,3,621
baseline_single_year,0.13,0.0046822742474916385,0.7,0.009302325581395349,7,1488,3,675
baseline_single_year,0.14,0.004864489228630994,0.7,0.00966183574879227,7,1432,3,731
baseline_single_year,0.15,0.004996431120628123,0.7,0.009922041105598866,7,1394,3,769
baseline_single_year,0.16,0.005135730007336757,0.7,0.010196649672250545,7,1356,3,807
baseline_single_year,0.17,0.005355776587605203,0.7,0.010630220197418374,7,1300,3,863
baseline_single_year,0.18,0.005529225908372828,0.7,0.0109717868338558,7,1259,3,904
baseline_single_year,0.19,0.005714285714285714,0.7,0.011336032388663968,7,1218,3,945
baseline_single_year,0.2,0.005089058524173028,0.6,0.010092514718250631,6,1173,4,990
baseline_single_year,0.21,0.005309734513274336,0.6,0.010526315789473684,6,1124,4,1039
baseline_single_year,0.22,0.0055248618784530384,0.6,0.010948905109489052,6,1080,4,1083
baseline_single_year,0.23,0.0058309037900874635,0.6,0.011549566891241578,6,1023,4,1140
baseline_single_year,0.24,0.006091370558375634,0.6,0.012060301507537688,6,979,4,1184
baseline_single_year,0.25,0.006369426751592357,0.6,0.012605042016806723,6,936,4,1227
baseline_single_year,0.26,0.006622516556291391,0.6,0.013100436681222707,6,900,4,1263
baseline_single_year,0.27,0.006857142857142857,0.6,0.013559322033898305,6,869,4,1294
baseline_single_year,0.28,0.007177033492822967,0.6,0.014184397163120567,6,830,4,1333
baseline_single_year,0.29,0.007462686567164179,0.6,0.014742014742014743,6,798,4,1365
baseline_single_year,0.3,0.007802340702210663,0.6,0.01540436456996149,6,763,4,1400
baseline_single_year,0.31,0.008064516129032258,0.6,0.015915119363395226,6,738,4,1425
baseline_single_year,0.32,0.008426966292134831,0.6,0.01662049861495845,6,706,4,1457
baseline_single_year,0.33,0.008759124087591242,0.6,0.017266187050359712,6,679,4,1484
baseline_single_year,0.34,0.009174311926605505,0.6,0.018072289156626505,6,648,4,1515
baseline_single_year,0.35,0.009584664536741214,0.6,0.018867924528301886,6,620,4,1543
baseline_single_year,0.36,0.01,0.6,0.019672131147540985,6,594,4,1569
baseline_single_year,0.37,0.010380622837370242,0.6,0.02040816326530612,6,572,4,1591
baseline_single_year,0.38,0.010638297872340425,0.6,0.020905923344947737,6,558,4,1605
baseline_single_year,0.39,0.0111731843575419,0.6,0.021937842778793418,6,531,4,1632
baseline_single_year,0.4,0.01160541586073501,0.6,0.022770398481973434,6,511,4,1652
baseline_single_year,0.41,0.012145748987854251,0.6,0.023809523809523808,6,488,4,1675
baseline_single_year,0.42,0.012684989429175475,0.6,0.024844720496894408,6,467,4,1696
baseline_single_year,0.43,0.01327433628318584,0.6,0.025974025974025976,6,446,4,1717
baseline_single_year,0.44,0.013729977116704805,0.6,0.026845637583892617,6,431,4,1732
baseline_single_year,0.45,0.014184397163120567,0.6,0.02771362586605081,6,417,4,1746
baseline_single_year,0.46,0.015,0.6,0.02926829268292683,6,394,4,1769
baseline_single_year,0.47,0.015748031496062992,0.6,0.030690537084398978,6,375,4,1788
baseline_single_year,0.48,0.016483516483516484,0.6,0.03208556149732621,6,358,4,1805
baseline_single_year,0.49,0.017341040462427744,0.6,0.033707865168539325,6,340,4,1823
