종목코드,corp_code,기업명,event_year_Y,event_date,event_source,y_minus_1_excluded
000360,00000000,삼환기업,2015,2015-04-15,폐지사유: 자본전액잠식,True
000420,00000000,로케트전기,2015,2015-02-24,폐지사유: 감사의견 의견거절,True
000800,00000000,경남기업,2015,2015-04-15,폐지사유: 자본전액잠식,True
000830,00000000,삼성물산,2015,2015-09-15,폐지사유: 해산 사유 발생,True
002000,00000000,한국유리공업,2018,2018-12-13,폐지사유: 신청에 의한 상장폐지,True
002270,00000000,롯데푸드,2022,2022-07-20,폐지사유: 해산 사유 발생,True
002300,00000000,한국제지,2020,2020-07-13,폐지사유: 해산 사유 발생,True
003600,00000000,SK,2015,2015-08-17,폐지사유: 해산 사유 발생,True
003640,00000000,유니온스틸,2015,2015-01-16,폐지사유: 해산 사유 발생,True
003940,00000000,삼양제넥스,2016,2016-01-21,폐지사유: 해산 사유 발생,True
004130,00000000,대덕GDS,2018,2018-12-19,폐지사유: 해산 사유 발생,True
004200,00000000,고려개발,2020,2020-07-21,폐지사유: 해산 사유 발생,True
004320,00000000,울트라건설,2015,2015-04-13,폐지사유: 자본전액잠식,True
004740,00000000,보루네오가구,2017,2017-07-05,"폐지사유: 기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",True
005190,00000000,동성화학,2021,2021-04-16,폐지사유: 해산 사유 발생,True
005450,00000000,신한,2020,2020-06-30,폐지사유: 감사의견 의견거절 2년 계속,True
005620,00000000,대성합동지주,2017,2017-08-25,폐지사유: 해산 사유 발생,True
005980,00000000,성지건설,2018,2018-10-04,폐지사유: 감사의견 의견거절,True
006580,00000000,대양제지,2024,2024-06-21,폐지사유: 상장폐지 신청('24.05.17),True
007190,00000000,한솔아트원제지,2017,2017-03-15,폐지사유: 해산 사유 발생,True
007630,00000000,폴루스바이오팜,2022,2022-02-22,폐지사유: 감사의견 의견거절 2년 계속,True
008020,00000000,경남에너지,2016,2016-05-19,폐지사유: 신청에 의한 상장폐지,True
008800,00000000,행남사,2021,2021-06-07,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True
008900,00000000,티이씨코,2016,2016-05-17,폐지사유: 해산 사유 발생,True
010520,00000000,현대하이스코,2015,2015-07-15,폐지사유: 해산 사유 발생,True
