threshold,recall,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp,positive_support,negative_support,split
0.05,1.0,0.006082108464267613,0.012090680100755667,0.8808920620297865,0.19516227654294638,210,1961,0,12,12,2171,valid
0.06,1.0,0.006214396685655101,0.012352032938754504,0.8808920620297865,0.19516227654294638,252,1919,0,12,12,2171,valid
0.07,1.0,0.00636604774535809,0.012651555086979441,0.8808920620297865,0.19516227654294638,298,1873,0,12,12,2171,valid
0.08,1.0,0.0065252854812398045,0.012965964343598054,0.8808920620297865,0.19516227654294638,344,1827,0,12,12,2171,valid
0.09,1.0,0.00667779632721202,0.013266998341625208,0.8808920620297865,0.19516227654294638,386,1785,0,12,12,2171,valid
0.1,1.0,0.006857142857142857,0.01362088535754824,0.8808920620297865,0.19516227654294638,433,1738,0,12,12,2171,valid
0.11,1.0,0.0070921985815602835,0.014084507042253521,0.8808920620297865,0.19516227654294638,491,1680,0,12,12,2171,valid
0.12,1.0,0.0072683222289521504,0.014431749849669273,0.8808920620297865,0.19516227654294638,532,1639,0,12,12,2171,valid
0.13,0.9166666666666666,0.006892230576441102,0.013681592039800995,0.8808920620297865,0.19516227654294638,586,1585,1,11,12,2171,valid
0.14,0.9166666666666666,0.007124352331606218,0.014138817480719794,0.8808920620297865,0.19516227654294638,638,1533,1,11,12,2171,valid
0.15,0.9166666666666666,0.007362784471218206,0.014608233731739707,0.8808920620297865,0.19516227654294638,688,1483,1,11,12,2171,valid
0.16,0.9166666666666666,0.007724719101123595,0.01532033426183844,0.8808920620297865,0.19516227654294638,758,1413,1,11,12,2171,valid
0.17,0.9166666666666666,0.008,0.015861571737563085,0.8808920620297865,0.19516227654294638,807,1364,1,11,12,2171,valid
0.18,0.9166666666666666,0.008295625942684766,0.016442451420029897,0.8808920620297865,0.19516227654294638,856,1315,1,11,12,2171,valid
0.19,0.9166666666666666,0.008688783570300158,0.017214397496087636,0.8808920620297865,0.19516227654294638,916,1255,1,11,12,2171,valid
0.2,0.9166666666666666,0.009075907590759076,0.017973856209150325,0.8808920620297865,0.19516227654294638,970,1201,1,11,12,2171,valid
0.21,0.9166666666666666,0.009450171821305841,0.01870748299319728,0.8808920620297865,0.19516227654294638,1018,1153,1,11,12,2171,valid
0.22,0.9166666666666666,0.00980392156862745,0.019400352733686066,0.8808920620297865,0.19516227654294638,1060,1111,1,11,12,2171,valid
0.23,0.9166666666666666,0.010348071495766699,0.020465116279069766,0.8808920620297865,0.19516227654294638,1119,1052,1,11,12,2171,valid
0.24,0.9166666666666666,0.010773751224289911,0.021297192642787996,0.8808920620297865,0.19516227654294638,1161,1010,1,11,12,2171,valid
0.25,0.9166666666666666,0.011458333333333333,0.02263374485596708,0.8808920620297865,0.19516227654294638,1222,949,1,11,12,2171,valid
0.26,0.9166666666666666,0.012141280353200883,0.023965141612200435,0.8808920620297865,0.19516227654294638,1276,895,1,11,12,2171,valid
0.27,0.9166666666666666,0.012658227848101266,0.024971623155505107,0.8808920620297865,0.19516227654294638,1313,858,1,11,12,2171,valid
0.28,0.9166666666666666,0.013048635824436536,0.025730994152046785,0.8808920620297865,0.19516227654294638,1339,832,1,11,12,2171,valid
0.29,0.9166666666666666,0.0136986301369863,0.026993865030674847,0.8808920620297865,0.19516227654294638,1379,792,1,11,12,2171,valid
0.3,0.9166666666666666,0.014322916666666666,0.028205128205128206,0.8808920620297865,0.19516227654294638,1414,757,1,11,12,2171,valid
0.31,0.9166666666666666,0.015151515151515152,0.02981029810298103,0.8808920620297865,0.19516227654294638,1456,715,1,11,12,2171,valid
0.32,0.9166666666666666,0.01585014409221902,0.031161473087818695,0.8808920620297865,0.19516227654294638,1488,683,1,11,12,2171,valid
0.33,0.9166666666666666,0.016666666666666666,0.03273809523809524,0.8808920620297865,0.19516227654294638,1522,649,1,11,12,2171,valid
0.34,0.9166666666666666,0.01757188498402556,0.034482758620689655,0.8808920620297865,0.19516227654294638,1556,615,1,11,12,2171,valid
0.35,0.9166666666666666,0.01854974704890388,0.03636363636363636,0.8808920620297865,0.19516227654294638,1589,582,1,11,12,2171,valid
0.36,0.9166666666666666,0.01926444833625219,0.03773584905660377,0.8808920620297865,0.19516227654294638,1611,560,1,11,12,2171,valid
0.37,0.9166666666666666,0.02029520295202952,0.039711191335740074,0.8808920620297865,0.19516227654294638,1640,531,1,11,12,2171,valid
0.38,0.8333333333333334,0.019569471624266144,0.03824091778202677,0.8808920620297865,0.19516227654294638,1670,501,2,10,12,2171,valid
0.39,0.8333333333333334,0.02066115702479339,0.04032258064516129,0.8808920620297865,0.19516227654294638,1697,474,2,10,12,2171,valid
0.4,0.8333333333333334,0.021739130434782608,0.0423728813559322,0.8808920620297865,0.19516227654294638,1721,450,2,10,12,2171,valid
0.41,0.8333333333333334,0.022321428571428572,0.043478260869565216,0.8808920620297865,0.19516227654294638,1733,438,2,10,12,2171,valid
0.42,0.8333333333333334,0.02386634844868735,0.04640371229698376,0.8808920620297865,0.19516227654294638,1762,409,2,10,12,2171,valid
0.43,0.8333333333333334,0.02506265664160401,0.04866180048661801,0.8808920620297865,0.19516227654294638,1782,389,2,10,12,2171,valid
0.44,0.8333333333333334,0.026385224274406333,0.05115089514066496,0.8808920620297865,0.19516227654294638,1802,369,2,10,12,2171,valid
0.45,0.75,0.024725274725274724,0.047872340425531915,0.8808920620297865,0.19516227654294638,1816,355,3,9,12,2171,valid
0.46,0.75,0.02608695652173913,0.05042016806722689,0.8808920620297865,0.19516227654294638,1835,336,3,9,12,2171,valid
0.47,0.75,0.027439024390243903,0.052941176470588235,0.8808920620297865,0.19516227654294638,1852,319,3,9,12,2171,valid
0.48,0.75,0.02903225806451613,0.055900621118012424,0.8808920620297865,0.19516227654294638,1870,301,3,9,12,2171,valid
0.49,0.75,0.030303030303030304,0.05825242718446602,0.8808920620297865,0.19516227654294638,1883,288,3,9,12,2171,valid
0.5,0.75,0.03180212014134275,0.061016949152542375,0.8808920620297865,0.19516227654294638,1897,274,3,9,12,2171,valid
0.51,0.75,0.03345724907063197,0.06405693950177936,0.8808920620297865,0.19516227654294638,1911,260,3,9,12,2171,valid
0.52,0.75,0.03461538461538462,0.0661764705882353,0.8808920620297865,0.19516227654294638,1920,251,3,9,12,2171,valid
0.53,0.75,0.036734693877551024,0.07003891050583658,0.8808920620297865,0.19516227654294638,1935,236,3,9,12,2171,valid
0.54,0.75,0.03829787234042553,0.0728744939271255,0.8808920620297865,0.19516227654294638,1945,226,3,9,12,2171,valid
0.55,0.75,0.04,0.0759493670886076,0.8808920620297865,0.19516227654294638,1955,216,3,9,12,2171,valid
0.56,0.75,0.04186046511627907,0.07929515418502203,0.8808920620297865,0.19516227654294638,1965,206,3,9,12,2171,valid
0.57,0.6666666666666666,0.04040404040404041,0.0761904761904762,0.8808920620297865,0.19516227654294638,1981,190,4,8,12,2171,valid
0.58,0.6666666666666666,0.043010752688172046,0.08080808080808081,0.8808920620297865,0.19516227654294638,1993,178,4,8,12,2171,valid
0.59,0.6666666666666666,0.04419889502762431,0.08290155440414508,0.8808920620297865,0.19516227654294638,1998,173,4,8,12,2171,valid
0.6,0.6666666666666666,0.045714285714285714,0.0855614973262032,0.8808920620297865,0.19516227654294638,2004,167,4,8,12,2171,valid
0.61,0.5833333333333334,0.041176470588235294,0.07692307692307693,0.8808920620297865,0.19516227654294638,2008,163,5,7,12,2171,valid
0.62,0.5833333333333334,0.04242424242424243,0.07909604519774012,0.8808920620297865,0.19516227654294638,2013,158,5,7,12,2171,valid
0.63,0.5833333333333334,0.0440251572327044,0.08187134502923976,0.8808920620297865,0.19516227654294638,2019,152,5,7,12,2171,valid
0.64,0.5833333333333334,0.046357615894039736,0.08588957055214724,0.8808920620297865,0.19516227654294638,2027,144,5,7,12,2171,valid
0.65,0.5,0.041379310344827586,0.07643312101910828,0.8808920620297865,0.19516227654294638,2032,139,6,6,12,2171,valid
0.66,0.5,0.04316546762589928,0.07947019867549669,0.8808920620297865,0.19516227654294638,2038,133,6,6,12,2171,valid
0.67,0.5,0.043795620437956206,0.08053691275167785,0.8808920620297865,0.19516227654294638,2040,131,6,6,12,2171,valid
0.68,0.5,0.045454545454545456,0.08333333333333333,0.8808920620297865,0.19516227654294638,2045,126,6,6,12,2171,valid
0.69,0.5,0.04878048780487805,0.08888888888888889,0.8808920620297865,0.19516227654294638,2054,117,6,6,12,2171,valid
0.7,0.5,0.05084745762711865,0.09230769230769231,0.8808920620297865,0.19516227654294638,2059,112,6,6,12,2171,valid
0.71,0.5,0.05405405405405406,0.0975609756097561,0.8808920620297865,0.19516227654294638,2066,105,6,6,12,2171,valid
0.72,0.5,0.05660377358490566,0.1016949152542373,0.8808920620297865,0.19516227654294638,2071,100,6,6,12,2171,valid
0.73,0.5,0.06,0.10714285714285714,0.8808920620297865,0.19516227654294638,2077,94,6,6,12,2171,valid
0.74,0.5,0.061224489795918366,0.10909090909090909,0.8808920620297865,0.19516227654294638,2079,92,6,6,12,2171,valid
0.75,0.5,0.06315789473684211,0.11214953271028037,0.8808920620297865,0.19516227654294638,2082,89,6,6,12,2171,valid
0.76,0.5,0.06593406593406594,0.11650485436893204,0.8808920620297865,0.19516227654294638,2086,85,6,6,12,2171,valid
0.77,0.5,0.06818181818181818,0.12,0.8808920620297865,0.19516227654294638,2089,82,6,6,12,2171,valid
0.78,0.5,0.07407407407407407,0.12903225806451613,0.8808920620297865,0.19516227654294638,2096,75,6,6,12,2171,valid
0.79,0.4166666666666667,0.06493506493506493,0.11235955056179775,0.8808920620297865,0.19516227654294638,2099,72,7,5,12,2171,valid
0.8,0.4166666666666667,0.07352941176470588,0.125,0.8808920620297865,0.19516227654294638,2108,63,7,5,12,2171,valid
0.81,0.4166666666666667,0.07462686567164178,0.12658227848101267,0.8808920620297865,0.19516227654294638,2109,62,7,5,12,2171,valid
0.82,0.4166666666666667,0.07936507936507936,0.13333333333333333,0.8808920620297865,0.19516227654294638,2113,58,7,5,12,2171,valid
0.83,0.4166666666666667,0.08196721311475409,0.136986301369863,0.8808920620297865,0.19516227654294638,2115,56,7,5,12,2171,valid
0.84,0.4166666666666667,0.08620689655172414,0.14285714285714285,0.8808920620297865,0.19516227654294638,2118,53,7,5,12,2171,valid
0.85,0.4166666666666667,0.09090909090909091,0.14925373134328357,0.8808920620297865,0.19516227654294638,2121,50,7,5,12,2171,valid
0.86,0.4166666666666667,0.1,0.16129032258064516,0.8808920620297865,0.19516227654294638,2126,45,7,5,12,2171,valid
0.87,0.4166666666666667,0.1111111111111111,0.17543859649122806,0.8808920620297865,0.19516227654294638,2131,40,7,5,12,2171,valid
0.88,0.4166666666666667,0.11363636363636363,0.17857142857142858,0.8808920620297865,0.19516227654294638,2132,39,7,5,12,2171,valid
0.89,0.3333333333333333,0.09523809523809523,0.14814814814814814,0.8808920620297865,0.19516227654294638,2133,38,8,4,12,2171,valid
0.9,0.3333333333333333,0.10256410256410256,0.1568627450980392,0.8808920620297865,0.19516227654294638,2136,35,8,4,12,2171,valid
0.91,0.3333333333333333,0.11764705882352941,0.17391304347826086,0.8808920620297865,0.19516227654294638,2141,30,8,4,12,2171,valid
0.92,0.3333333333333333,0.13333333333333333,0.19047619047619047,0.8808920620297865,0.19516227654294638,2145,26,8,4,12,2171,valid
0.93,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.8808920620297865,0.19516227654294638,2151,20,8,4,12,2171,valid
0.94,0.3333333333333333,0.17391304347826086,0.22857142857142856,0.8808920620297865,0.19516227654294638,2152,19,8,4,12,2171,valid
0.95,0.3333333333333333,0.2,0.25,0.8808920620297865,0.19516227654294638,2155,16,8,4,12,2171,valid
0.96,0.3333333333333333,0.2222222222222222,0.26666666666666666,0.8808920620297865,0.19516227654294638,2157,14,8,4,12,2171,valid
0.97,0.3333333333333333,0.2857142857142857,0.3076923076923077,0.8808920620297865,0.19516227654294638,2161,10,8,4,12,2171,valid
0.98,0.16666666666666666,0.2,0.18181818181818182,0.8808920620297865,0.19516227654294638,2163,8,10,2,12,2171,valid
0.99,0.16666666666666666,0.4,0.23529411764705882,0.8808920620297865,0.19516227654294638,2168,3,10,2,12,2171,valid
