기업명,종목코드,corp_code,연도,기업상태,selected_fs_div,has_data,raw_row_count,status_values,status_conflict,missing_feature_count,all_feature_null,too_many_missing_features,event_year_Y,event_date,event_source,y_minus_1_excluded,is_positive_candidate,is_excluded_y_minus_1,is_excluded_event_or_after,target_future_delist,include_for_training,exclude_reason,source_file
롯데푸드,002270,00120508,2021,상폐기업,CFS,True,1,상폐기업,False,3,False,False,2022,2022-07-20,폐지사유: 해산 사유 발생,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\롯데푸드\2021\002270__롯데푸드__2021__11011.json
한국제지,002300,00159412,2019,상폐기업,CFS,True,1,상폐기업,False,3,False,False,2020,2020-07-13,폐지사유: 해산 사유 발생,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\한국제지\2019\002300__한국제지__2019__11011.json
삼양제넥스,003940,00132105,2015,상폐기업,,False,1,상폐기업,False,30,True,True,2016,2016-01-21,폐지사유: 해산 사유 발생,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\삼양제넥스\2015\003940__삼양제넥스__2015__11011.json
대덕GDS,004130,00109170,2017,상폐기업,CFS,True,1,상폐기업,False,1,False,False,2018,2018-12-19,폐지사유: 해산 사유 발생,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\대덕GDS\2017\004130__대덕GDS__2017__11011.json
고려개발,004200,00102681,2019,상폐기업,OFS,True,1,상폐기업,False,3,False,False,2020,2020-07-21,폐지사유: 해산 사유 발생,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\고려개발\2019\004200__고려개발__2019__11011.json
보루네오가구,004740,00123152,2016,상폐기업,CFS,True,1,상폐기업,False,1,False,False,2017,2017-07-05,"폐지사유: 기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\보루네오가구\2016\004740__보루네오가구__2016__11011.json
동성화학,005190,00116356,2020,상폐기업,CFS,True,1,상폐기업,False,1,False,False,2021,2021-04-16,폐지사유: 해산 사유 발생,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\동성화학\2020\005190__동성화학__2020__11011.json
신한,005450,00173740,2019,상폐기업,CFS,True,1,상폐기업,False,3,False,False,2020,2020-06-30,폐지사유: 감사의견 의견거절 2년 계속,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\신한\2019\005450__신한__2019__11011.json
대성합동지주,005620,00110495,2016,상폐기업,CFS,True,1,상폐기업,False,5,False,False,2017,2017-08-25,폐지사유: 해산 사유 발생,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\대성합동지주\2016\005620__대성합동지주__2016__11011.json
성지건설,005980,00133238,2017,상폐기업,OFS,True,1,상폐기업,False,3,False,False,2018,2018-10-04,폐지사유: 감사의견 의견거절,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\성지건설\2017\005980__성지건설__2017__11011.json
한솔아트원제지,007190,00137702,2016,상폐기업,,False,1,상폐기업,False,30,True,True,2017,2017-03-15,폐지사유: 해산 사유 발생,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\한솔아트원제지\2016\007190__한솔아트원제지__2016__11011.json
폴루스바이오팜,007630,00167280,2021,상폐기업,CFS,True,1,상폐기업,False,4,False,False,2022,2022-02-22,폐지사유: 감사의견 의견거절 2년 계속,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\폴루스바이오팜\2021\007630__폴루스바이오팜__2021__11011.json
