threshold,recall,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp,positive_support,negative_support,split
0.05,0.8,0.004248539564524694,0.008452192287374538,0.6527045769764216,0.1833815238072866,288,1875,2,8,10,2163,valid
0.06,0.8,0.00437636761487965,0.008705114254624592,0.6527045769764216,0.1833815238072866,343,1820,2,8,10,2163,valid
0.07,0.8,0.004489337822671156,0.008928571428571428,0.6527045769764216,0.1833815238072866,389,1774,2,8,10,2163,valid
0.08,0.8,0.004584527220630372,0.009116809116809116,0.6527045769764216,0.1833815238072866,426,1737,2,8,10,2163,valid
0.09,0.7,0.0041249263406010605,0.008201523140011716,0.6527045769764216,0.1833815238072866,473,1690,3,7,10,2163,valid
0.1,0.7,0.00426049908703591,0.008469449485783424,0.6527045769764216,0.1833815238072866,527,1636,3,7,10,2163,valid
0.11,0.7,0.00439146800501882,0.008728179551122194,0.6527045769764216,0.1833815238072866,576,1587,3,7,10,2163,valid
0.12,0.7,0.004519044544867657,0.008980115458627326,0.6527045769764216,0.1833815238072866,621,1542,3,7,10,2163,valid
0.13,0.7,0.0046822742474916385,0.009302325581395349,0.6527045769764216,0.1833815238072866,675,1488,3,7,10,2163,valid
0.14,0.7,0.004864489228630994,0.00966183574879227,0.6527045769764216,0.1833815238072866,731,1432,3,7,10,2163,valid
0.15,0.7,0.004996431120628123,0.009922041105598866,0.6527045769764216,0.1833815238072866,769,1394,3,7,10,2163,valid
0.16,0.7,0.005135730007336757,0.010196649672250545,0.6527045769764216,0.1833815238072866,807,1356,3,7,10,2163,valid
0.17,0.7,0.005355776587605203,0.010630220197418374,0.6527045769764216,0.1833815238072866,863,1300,3,7,10,2163,valid
0.18,0.7,0.005529225908372828,0.0109717868338558,0.6527045769764216,0.1833815238072866,904,1259,3,7,10,2163,valid
0.19,0.7,0.005714285714285714,0.011336032388663968,0.6527045769764216,0.1833815238072866,945,1218,3,7,10,2163,valid
0.2,0.6,0.005089058524173028,0.010092514718250631,0.6527045769764216,0.1833815238072866,990,1173,4,6,10,2163,valid
0.21,0.6,0.005309734513274336,0.010526315789473684,0.6527045769764216,0.1833815238072866,1039,1124,4,6,10,2163,valid
0.22,0.6,0.0055248618784530384,0.010948905109489052,0.6527045769764216,0.1833815238072866,1083,1080,4,6,10,2163,valid
0.23,0.6,0.0058309037900874635,0.011549566891241578,0.6527045769764216,0.1833815238072866,1140,1023,4,6,10,2163,valid
0.24,0.6,0.006091370558375634,0.012060301507537688,0.6527045769764216,0.1833815238072866,1184,979,4,6,10,2163,valid
0.25,0.6,0.006369426751592357,0.012605042016806723,0.6527045769764216,0.1833815238072866,1227,936,4,6,10,2163,valid
0.26,0.6,0.006622516556291391,0.013100436681222707,0.6527045769764216,0.1833815238072866,1263,900,4,6,10,2163,valid
0.27,0.6,0.006857142857142857,0.013559322033898305,0.6527045769764216,0.1833815238072866,1294,869,4,6,10,2163,valid
0.28,0.6,0.007177033492822967,0.014184397163120567,0.6527045769764216,0.1833815238072866,1333,830,4,6,10,2163,valid
0.29,0.6,0.007462686567164179,0.014742014742014743,0.6527045769764216,0.1833815238072866,1365,798,4,6,10,2163,valid
0.3,0.6,0.007802340702210663,0.01540436456996149,0.6527045769764216,0.1833815238072866,1400,763,4,6,10,2163,valid
0.31,0.6,0.008064516129032258,0.015915119363395226,0.6527045769764216,0.1833815238072866,1425,738,4,6,10,2163,valid
0.32,0.6,0.008426966292134831,0.01662049861495845,0.6527045769764216,0.1833815238072866,1457,706,4,6,10,2163,valid
0.33,0.6,0.008759124087591242,0.017266187050359712,0.6527045769764216,0.1833815238072866,1484,679,4,6,10,2163,valid
0.34,0.6,0.009174311926605505,0.018072289156626505,0.6527045769764216,0.1833815238072866,1515,648,4,6,10,2163,valid
0.35,0.6,0.009584664536741214,0.018867924528301886,0.6527045769764216,0.1833815238072866,1543,620,4,6,10,2163,valid
0.36,0.6,0.01,0.019672131147540985,0.6527045769764216,0.1833815238072866,1569,594,4,6,10,2163,valid
0.37,0.6,0.010380622837370242,0.02040816326530612,0.6527045769764216,0.1833815238072866,1591,572,4,6,10,2163,valid
0.38,0.6,0.010638297872340425,0.020905923344947737,0.6527045769764216,0.1833815238072866,1605,558,4,6,10,2163,valid
0.39,0.6,0.0111731843575419,0.021937842778793418,0.6527045769764216,0.1833815238072866,1632,531,4,6,10,2163,valid
0.4,0.6,0.01160541586073501,0.022770398481973434,0.6527045769764216,0.1833815238072866,1652,511,4,6,10,2163,valid
0.41,0.6,0.012145748987854251,0.023809523809523808,0.6527045769764216,0.1833815238072866,1675,488,4,6,10,2163,valid
0.42,0.6,0.012684989429175475,0.024844720496894408,0.6527045769764216,0.1833815238072866,1696,467,4,6,10,2163,valid
0.43,0.6,0.01327433628318584,0.025974025974025976,0.6527045769764216,0.1833815238072866,1717,446,4,6,10,2163,valid
0.44,0.6,0.013729977116704805,0.026845637583892617,0.6527045769764216,0.1833815238072866,1732,431,4,6,10,2163,valid
0.45,0.6,0.014184397163120567,0.02771362586605081,0.6527045769764216,0.1833815238072866,1746,417,4,6,10,2163,valid
0.46,0.6,0.015,0.02926829268292683,0.6527045769764216,0.1833815238072866,1769,394,4,6,10,2163,valid
0.47,0.6,0.015748031496062992,0.030690537084398978,0.6527045769764216,0.1833815238072866,1788,375,4,6,10,2163,valid
0.48,0.6,0.016483516483516484,0.03208556149732621,0.6527045769764216,0.1833815238072866,1805,358,4,6,10,2163,valid
