threshold,recall,precision,f1,roc_auc,pr_auc,tn,fp,fn,tp,positive_support,negative_support,split
0.05,0.9230769230769231,0.012276214833759591,0.024230186774356385,0.7136811408656069,0.2066317737672386,232,1931,2,24,26,2163,valid
0.06,0.9230769230769231,0.012565445026178011,0.024793388429752067,0.7136811408656069,0.2066317737672386,277,1886,2,24,26,2163,valid
0.07,0.9230769230769231,0.012917115177610334,0.025477707006369428,0.7136811408656069,0.2066317737672386,329,1834,2,24,26,2163,valid
0.08,0.9230769230769231,0.013201320132013201,0.026030368763557483,0.7136811408656069,0.2066317737672386,369,1794,2,24,26,2163,valid
0.09,0.8846153846153846,0.012921348314606741,0.02547065337763012,0.7136811408656069,0.2066317737672386,406,1757,3,23,26,2163,valid
0.1,0.8846153846153846,0.01336432306798373,0.02633085289066972,0.7136811408656069,0.2066317737672386,465,1698,3,23,26,2163,valid
0.11,0.8846153846153846,0.013682331945270671,0.026947861745752782,0.7136811408656069,0.2066317737672386,505,1658,3,23,26,2163,valid
0.12,0.8076923076923077,0.012939001848428836,0.025469981807155852,0.7136811408656069,0.2066317737672386,561,1602,5,21,26,2163,valid
0.13,0.8076923076923077,0.013358778625954198,0.026282853566958697,0.7136811408656069,0.2066317737672386,612,1551,5,21,26,2163,valid
0.14,0.7692307692307693,0.013201320132013201,0.025957170668397145,0.7136811408656069,0.2066317737672386,668,1495,6,20,26,2163,valid
0.15,0.7307692307692307,0.013022618231665525,0.02558922558922559,0.7136811408656069,0.2066317737672386,723,1440,7,19,26,2163,valid
0.16,0.7307692307692307,0.013513513513513514,0.02653631284916201,0.7136811408656069,0.2066317737672386,776,1387,7,19,26,2163,valid
0.17,0.7307692307692307,0.01400147383935151,0.0274765003615329,0.7136811408656069,0.2066317737672386,825,1338,7,19,26,2163,valid
0.18,0.7307692307692307,0.01445966514459665,0.028358208955223882,0.7136811408656069,0.2066317737672386,868,1295,7,19,26,2163,valid
0.19,0.7307692307692307,0.01498422712933754,0.02936630602782071,0.7136811408656069,0.2066317737672386,914,1249,7,19,26,2163,valid
0.2,0.7307692307692307,0.01557377049180328,0.030497592295345103,0.7136811408656069,0.2066317737672386,962,1201,7,19,26,2163,valid
0.21,0.7307692307692307,0.016253207869974338,0.031799163179916316,0.7136811408656069,0.2066317737672386,1013,1150,7,19,26,2163,valid
0.22,0.7307692307692307,0.016888888888888887,0.03301476976542137,0.7136811408656069,0.2066317737672386,1057,1106,7,19,26,2163,valid
0.23,0.7307692307692307,0.017823639774859287,0.0347985347985348,0.7136811408656069,0.2066317737672386,1116,1047,7,19,26,2163,valid
0.24,0.7307692307692307,0.01860920666013712,0.03629417382999045,0.7136811408656069,0.2066317737672386,1161,1002,7,19,26,2163,valid
0.25,0.7307692307692307,0.019447287615148412,0.03788634097706879,0.7136811408656069,0.2066317737672386,1205,958,7,19,26,2163,valid
0.26,0.7307692307692307,0.020342612419700215,0.03958333333333333,0.7136811408656069,0.2066317737672386,1248,915,7,19,26,2163,valid
0.27,0.6538461538461539,0.018847006651884702,0.036637931034482756,0.7136811408656069,0.2066317737672386,1278,885,9,17,26,2163,valid
0.28,0.6538461538461539,0.019630484988452657,0.03811659192825112,0.7136811408656069,0.2066317737672386,1314,849,9,17,26,2163,valid
0.29,0.6538461538461539,0.020556227327690448,0.03985932004689332,0.7136811408656069,0.2066317737672386,1353,810,9,17,26,2163,valid
0.3,0.6538461538461539,0.021491782553729456,0.0416156670746634,0.7136811408656069,0.2066317737672386,1389,774,9,17,26,2163,valid
0.31,0.6538461538461539,0.02257636122177955,0.043645699614890884,0.7136811408656069,0.2066317737672386,1427,736,9,17,26,2163,valid
0.32,0.6538461538461539,0.02364394993045897,0.04563758389261745,0.7136811408656069,0.2066317737672386,1461,702,9,17,26,2163,valid
0.33,0.6538461538461539,0.025,0.04815864022662889,0.7136811408656069,0.2066317737672386,1500,663,9,17,26,2163,valid
0.34,0.6153846153846154,0.02450229709035222,0.047128129602356406,0.7136811408656069,0.2066317737672386,1526,637,10,16,26,2163,valid
0.35,0.6153846153846154,0.025682182985553772,0.04930662557781202,0.7136811408656069,0.2066317737672386,1556,607,10,16,26,2163,valid
0.36,0.5769230769230769,0.024958402662229616,0.04784688995215311,0.7136811408656069,0.2066317737672386,1577,586,11,15,26,2163,valid
0.37,0.5769230769230769,0.02613240418118467,0.05,0.7136811408656069,0.2066317737672386,1604,559,11,15,26,2163,valid
0.38,0.5769230769230769,0.02702702702702703,0.05163511187607573,0.7136811408656069,0.2066317737672386,1623,540,11,15,26,2163,valid
0.39,0.5769230769230769,0.027932960893854747,0.05328596802841918,0.7136811408656069,0.2066317737672386,1641,522,11,15,26,2163,valid
0.4,0.5769230769230769,0.02912621359223301,0.05545286506469501,0.7136811408656069,0.2066317737672386,1663,500,11,15,26,2163,valid
0.41,0.5769230769230769,0.030181086519114688,0.05736137667304015,0.7136811408656069,0.2066317737672386,1681,482,11,15,26,2163,valid
0.42,0.5769230769230769,0.031315240083507306,0.0594059405940594,0.7136811408656069,0.2066317737672386,1699,464,11,15,26,2163,valid
0.43,0.5769230769230769,0.03253796095444685,0.061601642710472276,0.7136811408656069,0.2066317737672386,1717,446,11,15,26,2163,valid
0.44,0.5769230769230769,0.03456221198156682,0.06521739130434782,0.7136811408656069,0.2066317737672386,1744,419,11,15,26,2163,valid
0.45,0.5769230769230769,0.03614457831325301,0.06802721088435375,0.7136811408656069,0.2066317737672386,1763,400,11,15,26,2163,valid
0.46,0.5769230769230769,0.03740648379052369,0.0702576112412178,0.7136811408656069,0.2066317737672386,1777,386,11,15,26,2163,valid
0.47,0.5769230769230769,0.0390625,0.07317073170731707,0.7136811408656069,0.2066317737672386,1794,369,11,15,26,2163,valid
0.48,0.5769230769230769,0.04,0.07481296758104738,0.7136811408656069,0.2066317737672386,1803,360,11,15,26,2163,valid
0.49,0.5769230769230769,0.04132231404958678,0.07712082262210797,0.7136811408656069,0.2066317737672386,1815,348,11,15,26,2163,valid
0.5,0.5769230769230769,0.043227665706051875,0.08042895442359249,0.7136811408656069,0.2066317737672386,1831,332,11,15,26,2163,valid
0.51,0.5769230769230769,0.045454545454545456,0.08426966292134831,0.7136811408656069,0.2066317737672386,1848,315,11,15,26,2163,valid
0.52,0.5769230769230769,0.04716981132075472,0.0872093023255814,0.7136811408656069,0.2066317737672386,1860,303,11,15,26,2163,valid
0.53,0.5769230769230769,0.049342105263157895,0.09090909090909091,0.7136811408656069,0.2066317737672386,1874,289,11,15,26,2163,valid
0.54,0.5769230769230769,0.05244755244755245,0.09615384615384616,0.7136811408656069,0.2066317737672386,1892,271,11,15,26,2163,valid
0.55,0.5769230769230769,0.0539568345323741,0.09868421052631579,0.7136811408656069,0.2066317737672386,1900,263,11,15,26,2163,valid
0.56,0.5769230769230769,0.055970149253731345,0.10204081632653061,0.7136811408656069,0.2066317737672386,1910,253,11,15,26,2163,valid
0.57,0.5384615384615384,0.05511811023622047,0.1,0.7136811408656069,0.2066317737672386,1923,240,12,14,26,2163,valid
0.58,0.5384615384615384,0.058823529411764705,0.10606060606060606,0.7136811408656069,0.2066317737672386,1939,224,12,14,26,2163,valid
0.59,0.5384615384615384,0.06086956521739131,0.109375,0.7136811408656069,0.2066317737672386,1947,216,12,14,26,2163,valid
0.6,0.5384615384615384,0.06278026905829596,0.11244979919678715,0.7136811408656069,0.2066317737672386,1954,209,12,14,26,2163,valid
0.61,0.5,0.06132075471698113,0.1092436974789916,0.7136811408656069,0.2066317737672386,1964,199,13,13,26,2163,valid
0.62,0.5,0.06403940886699508,0.11353711790393013,0.7136811408656069,0.2066317737672386,1973,190,13,13,26,2163,valid
0.63,0.5,0.06701030927835051,0.11818181818181818,0.7136811408656069,0.2066317737672386,1982,181,13,13,26,2163,valid
0.64,0.5,0.07103825136612021,0.12440191387559808,0.7136811408656069,0.2066317737672386,1993,170,13,13,26,2163,valid
0.65,0.5,0.07344632768361582,0.12807881773399016,0.7136811408656069,0.2066317737672386,1999,164,13,13,26,2163,valid
0.66,0.5,0.07975460122699386,0.13756613756613756,0.7136811408656069,0.2066317737672386,2013,150,13,13,26,2163,valid
0.67,0.5,0.08333333333333333,0.14285714285714285,0.7136811408656069,0.2066317737672386,2020,143,13,13,26,2163,valid
0.68,0.5,0.08609271523178808,0.14689265536723164,0.7136811408656069,0.2066317737672386,2025,138,13,13,26,2163,valid
0.69,0.5,0.08843537414965986,0.15028901734104047,0.7136811408656069,0.2066317737672386,2029,134,13,13,26,2163,valid
0.7,0.5,0.09027777777777778,0.15294117647058825,0.7136811408656069,0.2066317737672386,2032,131,13,13,26,2163,valid
0.71,0.46153846153846156,0.08759124087591241,0.147239263803681,0.7136811408656069,0.2066317737672386,2038,125,14,12,26,2163,valid
0.72,0.46153846153846156,0.09448818897637795,0.1568627450980392,0.7136811408656069,0.2066317737672386,2048,115,14,12,26,2163,valid
0.73,0.4230769230769231,0.09090909090909091,0.14965986394557823,0.7136811408656069,0.2066317737672386,2053,110,15,11,26,2163,valid
0.74,0.4230769230769231,0.09322033898305085,0.1527777777777778,0.7136811408656069,0.2066317737672386,2056,107,15,11,26,2163,valid
0.75,0.4230769230769231,0.1,0.16176470588235295,0.7136811408656069,0.2066317737672386,2064,99,15,11,26,2163,valid
0.76,0.4230769230769231,0.10476190476190476,0.16793893129770993,0.7136811408656069,0.2066317737672386,2069,94,15,11,26,2163,valid
0.77,0.4230769230769231,0.10891089108910891,0.1732283464566929,0.7136811408656069,0.2066317737672386,2073,90,15,11,26,2163,valid
0.78,0.4230769230769231,0.12087912087912088,0.18803418803418803,0.7136811408656069,0.2066317737672386,2083,80,15,11,26,2163,valid
0.79,0.4230769230769231,0.125,0.19298245614035087,0.7136811408656069,0.2066317737672386,2086,77,15,11,26,2163,valid
0.8,0.4230769230769231,0.1375,0.20754716981132076,0.7136811408656069,0.2066317737672386,2094,69,15,11,26,2163,valid
0.81,0.4230769230769231,0.14102564102564102,0.21153846153846154,0.7136811408656069,0.2066317737672386,2096,67,15,11,26,2163,valid
0.82,0.4230769230769231,0.14102564102564102,0.21153846153846154,0.7136811408656069,0.2066317737672386,2096,67,15,11,26,2163,valid
0.83,0.38461538461538464,0.136986301369863,0.20202020202020202,0.7136811408656069,0.2066317737672386,2100,63,16,10,26,2163,valid
0.84,0.38461538461538464,0.14492753623188406,0.21052631578947367,0.7136811408656069,0.2066317737672386,2104,59,16,10,26,2163,valid
0.85,0.38461538461538464,0.15625,0.2222222222222222,0.7136811408656069,0.2066317737672386,2109,54,16,10,26,2163,valid
0.86,0.38461538461538464,0.1694915254237288,0.23529411764705882,0.7136811408656069,0.2066317737672386,2114,49,16,10,26,2163,valid
0.87,0.38461538461538464,0.1724137931034483,0.23809523809523808,0.7136811408656069,0.2066317737672386,2115,48,16,10,26,2163,valid
0.88,0.38461538461538464,0.18181818181818182,0.24691358024691357,0.7136811408656069,0.2066317737672386,2118,45,16,10,26,2163,valid
0.89,0.38461538461538464,0.18518518518518517,0.25,0.7136811408656069,0.2066317737672386,2119,44,16,10,26,2163,valid
0.9,0.38461538461538464,0.19230769230769232,0.2564102564102564,0.7136811408656069,0.2066317737672386,2121,42,16,10,26,2163,valid
0.91,0.38461538461538464,0.2,0.2631578947368421,0.7136811408656069,0.2066317737672386,2123,40,16,10,26,2163,valid
0.92,0.38461538461538464,0.21739130434782608,0.2777777777777778,0.7136811408656069,0.2066317737672386,2127,36,16,10,26,2163,valid
0.93,0.38461538461538464,0.23809523809523808,0.29411764705882354,0.7136811408656069,0.2066317737672386,2131,32,16,10,26,2163,valid
0.94,0.38461538461538464,0.2857142857142857,0.32786885245901637,0.7136811408656069,0.2066317737672386,2138,25,16,10,26,2163,valid
0.95,0.38461538461538464,0.30303030303030304,0.3389830508474576,0.7136811408656069,0.2066317737672386,2140,23,16,10,26,2163,valid
0.96,0.3076923076923077,0.2962962962962963,0.3018867924528302,0.7136811408656069,0.2066317737672386,2144,19,18,8,26,2163,valid
0.97,0.2692307692307692,0.35,0.30434782608695654,0.7136811408656069,0.2066317737672386,2150,13,19,7,26,2163,valid
0.98,0.2692307692307692,0.3888888888888889,0.3181818181818182,0.7136811408656069,0.2066317737672386,2152,11,19,7,26,2163,valid
0.99,0.23076923076923078,0.42857142857142855,0.3,0.7136811408656069,0.2066317737672386,2155,8,20,6,26,2163,valid
